=== RELU TEST START ===
IN=-10 | OUT=0 | EXPECTED=0
IN=-1 | OUT=0 | EXPECTED=0
IN=0 | OUT=0 | EXPECTED=0
IN=1 | OUT=1 | EXPECTED=1
IN=5 | OUT=5 | EXPECTED=5
IN=2147483647 | OUT=2147483647 | EXPECTED=2147483647
IN=-2147483648 | OUT=0 | EXPECTED=0
IN=303379748 | OUT=303379748 | EXPECTED=303379748
IN=-1064739199 | OUT=0 | EXPECTED=0
IN=-2071669239 | OUT=0 | EXPECTED=0
IN=-1309649309 | OUT=0 | EXPECTED=0
IN=112818957 | OUT=112818957 | EXPECTED=112818957
IN=1189058957 | OUT=1189058957 | EXPECTED=1189058957
IN=-1295874971 | OUT=0 | EXPECTED=0
IN=-1992863214 | OUT=0 | EXPECTED=0
IN=15983361 | OUT=15983361 | EXPECTED=15983361
IN=114806029 | OUT=114806029 | EXPECTED=114806029
IN=992211318 | OUT=992211318 | EXPECTED=992211318
IN=512609597 | OUT=512609597 | EXPECTED=512609597
IN=1993627629 | OUT=1993627629 | EXPECTED=1993627629
IN=1177417612 | OUT=1177417612 | EXPECTED=1177417612
IN=2097015289 | OUT=2097015289 | EXPECTED=2097015289
IN=-482925370 | OUT=0 | EXPECTED=0
IN=-487095099 | OUT=0 | EXPECTED=0
IN=-720121174 | OUT=0 | EXPECTED=0
IN=1924134885 | OUT=1924134885 | EXPECTED=1924134885
IN=-1143836041 | OUT=0 | EXPECTED=0
=== TEST SUMMARY ===
Total errors: 0
